e1,ev,p,q,e
0.001,0,59.81,-0.21,0.68
0.028,0.01,67.49666667,22.85,0.679832
0.054,0.017,71.64,35.28,0.6797144
0.08,0.024,74.44,44.04,0.6795968
0.108,0.031,77.34333333,52.39,0.6794792
0.136,0.037,79.32666667,58.7,0.6793784
0.162,0.042,80.75,62.97,0.6792944
0.19,0.047,82.05,67.23,0.6792104
0.216,0.051,83.38666667,70.88,0.6791432
0.245,0.056,84.41666667,74.33,0.6790592
0.271,0.059,85.36,77.16,0.6790088
0.297,0.063,86.35666667,79.79,0.6789416
0.323,0.065,86.91666667,82.22,0.678908
0.349,0.068,87.65666667,84.44,0.6788576
0.376,0.07,88.38666667,86.24,0.678824
0.401,0.072,89.17666667,88.25,0.6787904
0.429,0.074,89.66,90.06,0.6787568
0.455,0.076,90.26333333,91.87,0.6787232
0.481,0.077,90.91666667,93.47,0.6787064
0.507,0.078,91.26333333,94.87,0.6786896
0.533,0.079,91.73666667,96.68,0.6786728
0.561,0.08,92.45,98.07,0.678656
0.589,0.08,92.98333333,99.67,0.678656
0.616,0.08,93.63333333,101.26,0.678656
0.641,0.08,93.91,102.45,0.678656
0.67,0.08,94.32333333,104.05,0.678656
0.697,0.08,94.65666667,105.44,0.678656
0.725,0.08,95.37,106.83,0.678656
0.753,0.079,95.81666667,107.81,0.6786728
0.781,0.078,96.03666667,109.19,0.6786896
0.807,0.077,96.30666667,110.39,0.6787064
0.834,0.076,97.07,111.57,0.6787232
0.861,0.075,97.15333333,112.54,0.67874
0.888,0.073,97.67,113.73,0.6787736
0.916,0.071,98.18333333,114.91,0.6788072
0.942,0.07,98.26666667,115.88,0.678824
0.967,0.068,98.71666667,116.87,0.6788576
0.993,0.066,99.16333333,117.85,0.6788912
1.02,0.064,99.24666667,118.82,0.6789248
1.047,0.061,99.69,119.79,0.6789752
1.073,0.059,100.3233333,120.97,0.6790088
1.1,0.056,100.53,121.95,0.6790592
1.128,0.053,100.8533333,122.92,0.6791096
1.154,0.051,101.23,123.69,0.6791432
1.18,0.048,101.5533333,124.66,0.6791936
1.207,0.044,101.8766667,125.63,0.6792608
1.236,0.041,102.3866667,126.8,0.6793112
1.263,0.038,102.4566667,127.37,0.6793616
1.291,0.034,102.6566667,128.33,0.6794288
1.32,0.03,103.1533333,129.1,0.679496
1.348,0.027,103.4066667,129.86,0.6795464
1.376,0.023,103.61,130.83,0.6796136
1.403,0.019,103.9833333,131.59,0.6796808
1.431,0.014,104.17,132.15,0.6797648
1.457,0.01,104.6666667,132.92,0.679832
1.483,0.006,104.92,133.68,0.6798992
1.51,0.002,104.9866667,134.24,0.6799664
1.538,-0.002,105.3066667,135.2,0.6800336
1.564,-0.006,105.4266667,135.56,0.6801008
1.589,-0.01,105.7366667,136.13,0.680168
1.617,-0.015,106.1166667,136.88,0.680252
1.643,-0.02,106.1733333,137.44,0.680336
1.671,-0.025,106.4866667,137.99,0.68042
1.698,-0.03,106.74,138.75,0.680504
1.726,-0.035,106.9233333,139.3,0.680588
1.751,-0.039,107.1766667,140.06,0.6806552
1.777,-0.044,107.6033333,140.62,0.6807392
1.805,-0.05,107.48,140.97,0.68084
1.833,-0.055,107.7866667,141.53,0.680924
1.859,-0.06,107.79,142.29,0.681008
1.886,-0.065,108.0333333,142.63,0.681092
1.913,-0.071,108.09,143.19,0.6811928
1.941,-0.077,108.83,143.94,0.6812936
1.967,-0.082,108.8933333,144.49,0.6813776
1.995,-0.088,108.9566667,145.04,0.6814784
2.021,-0.094,109.3166667,145.4,0.6815792
2.071,-0.105,109.5633333,146.5,0.681764
2.121,-0.116,109.8,147.21,0.6819488
2.174,-0.128,110.1,148.11,0.6821504
2.226,-0.14,110.5866667,149.21,0.682352
2.276,-0.152,111.0633333,149.92,0.6825536
2.327,-0.164,111.12,150.81,0.6827552
2.379,-0.176,111.54,151.71,0.6829568
2.429,-0.188,111.8366667,152.6,0.6831584
2.481,-0.201,112.19,153.3,0.6833768
2.534,-0.215,112.6133333,154.18,0.683612
2.586,-0.228,112.8433333,154.87,0.6838304
2.636,-0.241,112.88,155.37,0.6840488
2.687,-0.254,113.11,156.06,0.6842672
